source,target
4735,1782
4735,1393
4735,4188
4735,4187
4733,4635
4731,4168
4730,2215
4729,4147
4728,4125
4727,4121
4726,4107
4725,1013
4724,1354
4723,4095
4722,471
4721,416
4721,337
4721,437
4720,1234
4719,4073
4719,616
4718,4001
4717,3992
4716,734
4715,88
4714,1527
4713,3891
4712,4197
4712,4196
4712,4195
4712,630
4712,2999
4712,3925
4712,3887
4711,2007
4711,3877
4710,3874
4709,2372
4708,4061
4708,3701
4708,3466
4708,1398
4707,4179
4707,3815
4706,794
4705,368
4704,3758
4703,2100
4703,3733
4702,1344
4702,3722
4701,1071
4700,454
4700,2928
4699,2241
4699,2240
4698,2196
4697,1017
4697,717
4696,4467
4696,2005
4696,1943
4695,3619
4695,3620
4695,756
4694,3609
4693,2986
4692,3599
4691,3870
4691,1183
4690,946
4690,223
4690,146
4690,642
4690,559
4690,3548
4689,4201
4689,1688
4689,2990
4688,907
4688,517
4688,403
4687,1036
4687,1070
4687,574
4687,4080
4687,816
4687,4020
4687,270
4687,219
4687,3069
4687,909
4687,1245
4687,534
4686,4194
4686,2579
4686,1506
4686,1522
4686,3901
4686,3767
4686,520
4685,468
4685,3668
4685,3525
4685,609
4685,3524
4685,3447
4684,3497
4684,4170
4684,4067
4684,2863
4683,3422
4682,1119
4682,1105
4681,122
4681,2367
4681,151
4680,3411
4679,3963
4679,3890
4679,340
4678,893
4678,1202
4678,1863
4678,560
4678,378
4677,795
4677,3383
4676,3375
4675,3375
4674,280
4674,2905
4674,3774
4674,3854
4674,3772
4674,3748
4674,3374
4673,1363
4673,469
4673,929
4673,1110
4673,2830
4673,2043
4672,1243
4672,1983
4672,2718
4672,77
4672,1277
4671,3069
4671,177
4670,1928
4670,3931
4670,3930
4670,3308
4670,3881
4670,3625
4670,3585
4670,3418
4670,3307
4669,1928
4669,3931
4669,3930
4669,3881
4669,3625
4669,3585
4669,3418
4669,3307
4668,426
4668,499
4668,638
4668,4433
4668,2969
4668,1119
4668,388
4668,1921
4668,404
4668,547
4668,1987
4668,2513
4668,1892
4668,658
4668,1212
4668,95
4668,644
4668,622
4668,577
4668,795
4668,99
4668,1855
4668,1779
4668,2042
4668,135
4668,230
4668,2279
4668,225
4668,2203
4668,487
4668,893
4668,501
4668,360
4668,654
4668,2372
4668,641
4668,359
4668,305
4668,97
4668,978
4668,173
4668,520
4668,3430
4668,378
4668,227
4668,433
4667,1360
4667,431
4667,3293
4666,1583
4666,1526
4666,645
4666,282
4666,4162
4666,4161
4666,112
4666,962
4666,1008
4666,3590
4666,3525
4666,121
4666,3290
4665,629
4665,2225
4665,1997
4665,897
4665,702
4665,539
4664,3248
4663,4069
4663,3223
4662,3222
4661,3520
4661,838
4661,3873
4661,241
4661,3347
4661,1158
4660,3220
4659,4700
4659,4205
4659,3209
4659,1322
4659,3693
4659,906
4659,1115
4659,523
4659,3208
4656,197
4656,624
4656,2140
4656,2691
4656,460
4656,1704
4643,3128
4643,3127
4643,3126
4643,3125
4643,3124
4643,3123
4643,2968
4643,3122
4643,3121
4643,3120
4643,3119
4643,3118
4643,1358
4642,4570
4642,2100
4641,1363
4641,1110
4641,2043
4641,3069
4641,535
4641,666
4640,259
4639,4644
4639,4570
4639,2737
4639,1116
4639,2318
4639,1371
4639,1794
4639,1295
4639,781
4639,2203
4639,1407
4639,1525
4639,2140
4639,890
4639,83
4639,2346
4638,4595
4638,4570
4638,1003
4638,594
4638,2778
4638,201
4637,4349
4637,466
4637,560
4637,303
4637,2125
4637,583
4637,135
4637,505
4637,524
4637,117
4637,2284
4637,1667
4637,348
4637,1739
4637,2269
4637,2511
4637,3013
4637,1863
4637,3060
4637,2266
4637,2192
4637,2279
4637,2826
4637,378
4636,3730
4636,659
4636,569
4636,2820
4635,3886
4635,3776
4635,3679
4635,3618
4635,3134
4635,3133
4635,3132
4635,1000
4635,3131
4635,3130
4635,3129
4635,2105
4635,2228
4635,2956
4635,725
4635,2911
4635,1892
4635,2820
4634,2835
4634,451
4633,4499
4633,4552
4633,4570
4633,1920
4633,869
4633,3820
4633,2479
4633,3640
4633,3428
4633,1704
4633,3221
4633,2834
4633,2833
4633,101
4633,2597
4633,2596
4633,2595
4633,2593
4632,4540
4632,1192
4632,3198
4632,905
4632,271
4632,363
4632,1358
4632,2176
4632,785
4632,1862
4632,1449
4631,4656
4631,4552
4631,197
4631,2140
4631,2406
4631,460
4630,1258
4630,1202
4629,4647
4629,4652
4629,4158
4629,3965
4629,3875
4629,3197
4629,3196
4629,3195
4629,3194
4629,3121
4629,3193
4629,3192
4629,3191
4629,3190
4629,3189
4629,3188
4629,3187
4629,3186
4629,3185
4629,3184
4629,3183
4629,812
4629,3182
4629,3181
4629,3180
4629,3179
4629,3178
4629,3177
4629,3176
4629,1774
4629,2789
4629,2904
4629,2903
4629,395
4629,2902
4629,655
4629,1850
4629,1493
4629,733
4629,1234
4629,2062
4629,1140
4628,3157
4628,3156
4628,3155
4628,3154
4628,3153
4628,2178
4628,3152
4628,2292
4628,1447
4628,3035
4628,2989
4628,2994
4628,3151
4628,1046
4628,3150
4628,3149
4628,2225
4628,2181
