id,type,name
4735,label,레인보우브릿지에이전시
4734,label,주식회사 스톰이앤에프
4733,label,가족액터스
4732,label,튠테이블 무브먼트
4731,label,오렌지엔터테인먼트
4730,label,킹콩엔터테인먼트
4729,label,캐슬제이엔터프라이즈
4728,label,북극곰 사운드
4727,label,스탠다트
4726,label,제이비엔컴퍼니
4725,label,더블유엠컴퍼니
4724,label,태원 엔터테인먼트
4723,label,도프 엔터테인먼트
4722,label,피브로사운드
4721,label,아리오라 재팬
4720,label,나무엑터스
4719,label,록스타뮤직앤라이브
4718,label,스페셜 엔터테인먼트
4717,label,거성엔터테인먼트
4716,label,나사렛대학교
4715,label,트라이펙타 엔터테인먼트
4714,label,Mnet
4713,label,PF엔터테인먼트
4712,label,위닝인사이트
4711,label,GYM 엔터테인먼트
4710,label,트리퍼 사운드
4709,label,스타킴 엔터테인먼트
4708,label,티엔 엔터테인먼트
4707,label,일렉트릭 뮤즈
4706,label,매니지먼트 구
4705,label,카이로스엔터프라이즈
4704,label,윌 엔터테인먼트
4703,label,저스트뮤직
4702,label,코엔티엔
4701,label,힘 엔터테인먼트
4700,label,웰메이드 예당
4699,label,부다 사운드
4698,label,레젤이엔엠코리아
4697,label,드림 팩토리
4696,label,티 엔터테인먼트
4695,label,데이즈 얼라이브 뮤직
4694,label,어치브그룹디엔
4693,label,라이온미디어
4692,label,스타이스트 엔터테인먼트
4691,label,쇼파르 뮤직
4690,label,사운드홀릭
4689,label,떼아뜨로
4688,label,에코브리드
4687,label,예당컴퍼니
4686,label,디컴퍼니
4685,label,비트볼 뮤직
4684,label,에버모어뮤직
4683,label,더블엠 엔터테인먼트
4682,label,블루프린트 뮤직
4681,label,카바레 사운드
4680,label,스타케이 엔터테인먼트
4679,label,러브락컴퍼니
4678,label,YGEX
4677,label,프로페셔널엔터테인먼트
4676,label,전국대학생대표자협의회
4675,label,한국대학총학생회연합
4674,label,GMC 레코드
4673,label,SM C&C
4672,label,원오원 엔터테인먼트
4671,label,다날
4670,label,사회적 기업
4669,label,들소리
4668,label,유니버설 뮤직 그룹
4667,label,지앤지프로덕션
4666,label,루비살롱 레코드
4665,label,폴라리스 엔터테인먼트
4664,label,뮤직큐브
4663,label,마스터플랜
4662,label,쥬신 프로덕션
4661,label,매직스트로베리 사운드
4660,label,단국대학교
4659,label,드림티 엔터테인먼트
4658,label,"Seoul Broadcasting System SBS Media Holdings, Ltd. 1"
4657,label,"SBS Media Holdings, Ltd."
4656,label,Next Entertainment World
4655,label,National Pension Service
4654,label,SK그룹
4653,label,Affinity Equity Partners
4652,label,SK Telecom
4651,label,YGKPlus
4650,label,SkyLife
4649,label,BC Card
4648,label,KTDS
4647,label,Sidus Pictures
4646,label,TVN (Corea del Sur)
4645,label,OnGameNet
4644,label,CJ Group
4643,label,Prain Global
4642,label,Just Music Entertainment
4641,label,Seo Taiji Company
4640,label,Best Flow
4639,label,Good Entertainment
4638,label,AI Entertainment
4637,label,Avex Group
4636,label,Soribada
4635,label,Mystic89
4634,label,CJ E&M Film Division
4633,label,Happy Face Entertainment
4632,label,J. Tune Entertainment
4631,label,Music&NEW
4630,label,School Boy Records
4629,label,SidusHQ
4628,label,Keyeast Entertainment
4627,label,Open World Entertainment
4626,label,Music Farm
4625,label,Music Zoo
4624,label,TOP Media
4623,label,Starship X
4622,label,제이튠 엔터테인먼트
4621,label,Music K Entertainment
4620,label,Jazzistik
4619,label,Core Contents Media
4618,label,CJ MediaLine
4617,label,WOOLLIM Entertainment
4616,label,C-JeS Entertainment
4615,label,Fallen-Angels Productions
4614,label,Big Hit Entertainment
4613,label,VITAMIN
4612,label,Baljunso Entertainment
4611,label,Star Empire Entertainment
4610,label,TS Entertainment
4609,label,AVA Films & Entertainment
4608,label,Playcube Inc.
4607,label,Avent
4606,label,Universal Music Korea
4605,label,코코엔터테인먼트
4604,label,Happy Robot Records
4603,label,MBK Entertainment
4602,label,Dream Factory
4601,label,WM Entertainment
4600,label,Amoeba Culture
4599,label,S.M. Culture & Contents
4598,label,Toymusic
4597,label,M2U
4596,label,Stomp Music
4595,label,FNC Entertainment
4594,label,DSP Enti
4593,label,"S.M. Entertainment Co., Ltd."
4592,label,SAMSUNG MUSIC
4591,label,CJ (기업)
4590,label,AQE
4589,label,Jungle Entertainment
4588,label,Fluxus Music
4587,label,Starship Entertainment
4586,label,Bajagi Label&Media
4585,label,A CUBE Entertainment
4584,label,Pandagram
4583,label,Neowiz Internet
4582,label,"CJ Entertainment, Inc."
4581,label,Baek Sang Entertainment
4580,label,PFull Entertainment
4579,label,Gookje Records
4578,label,Chrome Entertainment
4577,label,아바 엔터테인먼트
4576,label,Shinhwa Company
4575,label,B2M Entertainment
4574,label,Roxta Muzic & Live
4573,label,Apple of the Eye
4572,label,Seven Seasons
4571,label,LG Electronics
4570,label,Mnet Media
4569,label,namuare
4568,label,YNB Entertainment
4567,label,cavare sound
4566,label,Antenna Music
4565,label,Cantabile
4564,label,MAYS Entertainment
4563,label,S.M.Entertainment
4562,label,Chungchun Music
4561,label,K&K 엔터테인먼트
4560,label,KM culture
4559,label,Brandnew Stardom
4558,label,Jellyfish Entertainment
4557,label,CJ Music
4556,label,Illionaire Records
4555,label,LOEN Tree
4554,label,SBS Media Group
4553,label,GMC RECORDS
4552,label,LOEN Entertainment
4551,label,J. Tune Camp
4550,label,지엠콘텐츠미디어
4549,label,루오바 팩토리
